14110
6072
1	GKA	-6.0816898	145.3919983
2	MAG	-5.2070799	145.7890015
3	HGU	-5.8267899	144.2960052
4	LAE	-6.5698030	146.7259770
5	POM	-9.4433804	147.2200012
6	WWK	-3.5838301	143.6690063
7	UAK	61.1604996	-45.4259987
8	GOH	64.1909027	-51.6781006
9	SFJ	67.0122219	-50.7116032
10	THU	76.5311966	-68.7032013
11	AEY	65.6600037	-18.0727005
12	EGS	65.2833023	-14.4013996
13	HFN	64.2956010	-15.2272000
14	HZK	65.9523010	-17.4260010
15	IFJ	66.0580978	-23.1352997
16	KEF	63.9850006	-22.6056004
17	PFJ	65.5558010	-23.9650000
18	RKV	64.1299973	-21.9405994
19	SIJ	66.1333010	-18.9167000
20	VEY	63.4243011	-20.2789001
21	YAM	46.4850006	-84.5093994
24	YAY	51.3918991	-56.0830994
25	YAZ	49.0798330	-125.7755830
26	YBB	68.5344010	-89.8080980
27	YBC	49.1324997	-68.2043991
28	YBG	48.3306007	-70.9963989
29	YBK	64.2988968	-96.0777969
30	YBL	49.9508018	-125.2710037
31	YBR	49.9100000	-99.9518970
32	YCB	69.1081009	-105.1380005
33	YCD	49.0549702	-123.8698626
34	YCG	49.2963982	-117.6320038
35	YCH	47.0078010	-65.4492030
36	YCL	47.9907990	-66.3302990
37	YCO	67.8167040	-115.1439970
38	YCT	52.0750008	-111.4449997
39	YCW	49.1528015	-121.9390030
40	YCY	70.4860992	-68.5167007
41	YZS	64.1932983	-83.3593979
42	YDA	64.0430984	-139.1280060
43	YDB	61.3711014	-139.0410004
45	YDF	49.2108002	-57.3913994
46	YDL	58.4221992	-130.0319977
47	YDN	51.1007996	-100.0520020
48	YDQ	55.7422981	-120.1829987
49	YEG	53.3097000	-113.5800018
50	YEK	61.0942001	-94.0708008
51	YEN	49.2103004	-102.9660034
52	YET	53.5788994	-116.4649963
53	YEU	79.9946976	-85.8142014
54	YEV	68.3041992	-133.4830017
55	YFB	63.7564020	-68.5558010
56	YFC	45.8689003	-66.5372009
57	YFE	48.7461014	-69.0971985
58	YFO	54.6781006	-101.6819992
59	YFR	61.1808014	-113.6900024
60	YFS	61.7602005	-121.2369995
61	YGK	44.2252998	-76.5969009
62	YGL	53.6253014	-77.7042007
63	YGP	48.7752991	-64.4785995
64	YGQ	49.7783012	-86.9393997
65	YGR	47.4247017	-61.7780991
66	YHB	52.8167000	-102.3109970
67	YHD	49.8316990	-92.7442020
68	YHI	70.7628021	-117.8059998
69	YHK	68.6355972	-95.8497009
70	YHM	43.1735992	-79.9349976
71	YHU	45.5175018	-73.4169006
72	YHY	60.8396988	-115.7829971
73	YHZ	44.8807983	-63.5085983
74	YIB	48.7738991	-91.6386032
